Diameter (mm),Height (mm),Compressive Strength (MPa),Fiber Volume Ratio,Fiber Elastic Modulus (GPa),Fiber Tensile Strength (MPa),Fiber Thickness (mm),Number of Layers,Confinement Strength (MPa)
105,315,28.79,0.003,118,2060,0.07,1,41.2
105,315,28.79,0.005,118,2060,0.14,2,47.77
150,450,47.3,0.015,118,2060,0.57,4,84.3
150,450,51.1,0.015,118,2060,0.57,4,88.65
100,200,30.2,0.017,87,2667,0.43,3,92.1
150,300,23.1,0.008,115,2324,0.29,2,50.7
150,300,23.1,0.008,115,2324,0.29,2,53.7
100,300,46.4,0.023,118,2060,0.57,4,128.49
150,300,90.3,0.107,27,540,3.9,3,110
152,305,79.9,0.033,22,508,1.25,1,85.4
152,305,110.6,0.067,22,508,2.5,2,143.5
152,305,110.6,0.136,22,508,5,4,172.9
152.5,305,73,0.021,95,3055,0.8,4,138.7
100,200,80.6,0.053,26,575,1.3,1,100.4
100,200,67.03,0.053,26,575,1.3,1,92.4
100,200,80.6,0.107,26,575,2.6,2,98.3
100,200,80.6,0.107,26,575,2.6,2,95.8
160,320,61.7,0.025,26,325,1,1,69.4
160,320,61.7,0.025,26,325,1,1,73.1
160,320,61.7,0.025,26,325,1,1,77.5
160,320,61.7,0.051,26,325,2,2,80.8
152.5,305,73,0.021,129,2390,0.8,4,130.5
152.5,305,113.72,0.032,129,2390,1.2,6,186.5
152,305,106,0.032,120,2900,1.2,6,153.2
100,300,78.5,0.023,118,2060,0.57,4,167.1
100,300,101.2,0.011,118,2060,0.29,1,123.3
152.5,305,85.7,0.032,129,2390,1.2,6,166.2
152.5,305,85.7,0.032,129,2390,1.2,6,165.2
